Location,Date,Time,Vehicle_Count,Traffic_Density,Average_Speed,Road_Type,Weather,Accident_Reported,Signal_Status
IT Park,2025-01-14,20:00:00,242,Medium,14,Main Road,Cloudy,No,Green
Sector 35,2025-01-14,21:00:00,1728,Medium,59,Main Road,Cloudy,No,Red
Industrial Area,2025-01-14,22:00:00,665,Medium,67,Highway,Sunny,No,Red
Sector 35,2025-01-14,23:00:00,455,High,17,Main Road,Sunny,No,Green
Sector 35,2025-01-15,00:00:00,1799,High,40,Street,Rainy,No,Yellow
Sector 22,2025-01-15,01:00:00,1827,Medium,21,Highway,Sunny,No,Yellow
IT Park,2025-01-15,02:00:00,992,High,30,Highway,Sunny,No,Green
Industrial Area,2025-01-15,03:00:00,770,High,71,Main Road,Rainy,No,Green
Sector 17,2025-01-15,04:00:00,142,Medium,42,Highway,Foggy,No,Yellow
Sector 43,2025-01-15,05:00:00,479,High,35,Highway,Sunny,No,Yellow
Sector 17,2025-01-15,06:00:00,703,Low,49,Main Road,Foggy,No,Green
IT Park,2025-01-15,07:00:00,1507,High,74,Street,Rainy,No,Green
Sector 43,2025-01-15,08:00:00,1477,Low,68,Street,Cloudy,No,Green
IT Park,2025-01-15,09:00:00,483,Medium,24,Main Road,Foggy,No,Red
Sector 35,2025-01-15,10:00:00,1185,High,10,Street,Rainy,No,Green
Sector 43,2025-01-15,11:00:00,424,Medium,20,Street,Foggy,No,Red
Sector 35,2025-01-15,12:00:00,1132,Medium,64,Street,Rainy,No,Yellow
Sector 17,2025-01-15,13:00:00,1116,Medium,11,Highway,Rainy,No,Yellow
Sector 17,2025-01-15,14:00:00,256,Medium,74,Highway,Cloudy,No,Green
Sector 43,2025-01-15,15:00:00,829,Medium,53,Highway,Foggy,No,Green
Sector 43,2025-01-15,16:00:00,1369,High,25,Street,Cloudy,No,Yellow
Industrial Area,2025-01-15,17:00:00,1191,Low,31,Highway,Cloudy,No,Yellow
IT Park,2025-01-15,18:00:00,581,High,27,Street,Foggy,Yes,Yellow
Industrial Area,2025-01-15,19:00:00,1295,High,56,Main Road,Foggy,No,Yellow
IT Park,2025-01-15,20:00:00,215,High,39,Street,Rainy,No,Green
Industrial Area,2025-01-15,21:00:00,692,High,19,Highway,Foggy,No,Red
Sector 35,2025-01-15,22:00:00,1229,Low,67,Street,Rainy,No,Yellow
Sector 43,2025-01-15,23:00:00,1257,High,71,Highway,Rainy,No,Yellow
Sector 17,2025-01-16,00:00:00,139,Medium,15,Highway,Rainy,No,Red
IT Park,2025-01-16,01:00:00,1167,High,76,Main Road,Rainy,No,Green
IT Park,2025-01-16,02:00:00,62,High,50,Main Road,Rainy,No,Red
Sector 17,2025-01-16,03:00:00,1022,Low,52,Highway,Rainy,No,Green
Industrial Area,2025-01-16,04:00:00,1907,Low,27,Street,Foggy,No,Green
IT Park,2025-01-16,05:00:00,854,Medium,67,Main Road,Foggy,Yes,Green
Sector 35,2025-01-16,06:00:00,994,High,69,Main Road,Sunny,No,Green
Sector 43,2025-01-16,07:00:00,791,High,36,Highway,Foggy,Yes,Green
Sector 17,2025-01-16,08:00:00,1907,High,77,Street,Cloudy,No,Yellow
Sector 43,2025-01-16,09:00:00,1877,Medium,31,Main Road,Sunny,No,Green
IT Park,2025-01-16,10:00:00,1511,Low,33,Main Road,Foggy,No,Yellow
IT Park,2025-01-16,11:00:00,1611,Medium,49,Street,Cloudy,No,Green
Sector 17,2025-01-16,12:00:00,1660,High,75,Main Road,Foggy,No,Yellow
Sector 35,2025-01-16,13:00:00,925,Low,49,Street,Rainy,No,Red
Sector 22,2025-01-16,14:00:00,1884,Low,15,Highway,Sunny,No,Red
Sector 17,2025-01-16,15:00:00,1223,Medium,27,Main Road,Rainy,No,Yellow
Sector 22,2025-01-16,16:00:00,709,Low,39,Highway,Sunny,No,Green
Industrial Area,2025-01-16,17:00:00,1081,Low,30,Street,Sunny,No,Yellow
Sector 22,2025-01-16,18:00:00,1102,High,71,Highway,Rainy,No,Yellow
Sector 35,2025-01-16,19:00:00,345,High,19,Highway,Sunny,No,Green
Industrial Area,2025-01-16,20:00:00,1035,Low,22,Highway,Sunny,No,Red
Sector 22,2025-01-16,21:00:00,975,Low,18,Street,Foggy,Yes,Yellow
Industrial Area,2025-01-16,22:00:00,1794,Medium,77,Street,Cloudy,No,Red
Sector 22,2025-01-16,23:00:00,689,Medium,48,Street,Rainy,No,Red
Sector 35,2025-01-17,00:00:00,389,Low,33,Street,Foggy,No,Red
Sector 22,2025-01-17,01:00:00,677,High,43,Street,Foggy,Yes,Yellow
Sector 22,2025-01-17,02:00:00,488,Low,70,Main Road,Rainy,No,Yellow
Sector 22,2025-01-17,03:00:00,1217,Low,50,Main Road,Sunny,No,Green
Sector 17,2025-01-17,04:00:00,991,High,14,Main Road,Rainy,No,Green
Sector 17,2025-01-17,05:00:00,879,High,59,Highway,Cloudy,No,Yellow
Sector 17,2025-01-17,06:00:00,1820,Medium,13,Highway,Cloudy,No,Green
Sector 35,2025-01-17,07:00:00,568,Medium,60,Street,Rainy,No,Red
Industrial Area,2025-01-17,08:00:00,1025,Medium,61,Street,Foggy,No,Red
IT Park,2025-01-17,09:00:00,1118,Medium,48,Main Road,Rainy,No,Yellow
Sector 22,2025-01-17,10:00:00,1004,High,17,Street,Cloudy,No,Red
Sector 22,2025-01-17,11:00:00,1312,Low,54,Highway,Rainy,No,Yellow
Sector 35,2025-01-17,12:00:00,1001,Medium,37,Street,Sunny,No,Yellow
Sector 22,2025-01-17,13:00:00,993,Medium,36,Main Road,Rainy,No,Yellow
Sector 17,2025-01-17,14:00:00,204,High,74,Street,Foggy,No,Red
IT Park,2025-01-17,15:00:00,1254,High,43,Highway,Sunny,No,Yellow
Sector 43,2025-01-17,16:00:00,1288,Low,71,Main Road,Cloudy,Yes,Yellow
Sector 22,2025-01-17,17:00:00,137,Low,71,Street,Rainy,No,Green
Sector 17,2025-01-17,18:00:00,1329,High,47,Highway,Foggy,No,Red
Sector 43,2025-01-17,19:00:00,1584,Medium,35,Main Road,Foggy,No,Yellow
IT Park,2025-01-17,20:00:00,1146,Medium,33,Main Road,Cloudy,No,Green
Sector 43,2025-01-17,21:00:00,980,Medium,48,Highway,Rainy,No,Yellow
Sector 17,2025-01-17,22:00:00,228,Low,30,Street,Foggy,No,Red
Industrial Area,2025-01-17,23:00:00,261,Medium,56,Street,Sunny,No,Green
Industrial Area,2025-01-18,00:00:00,1878,Medium,57,Street,Rainy,No,Green
Sector 43,2025-01-18,01:00:00,1307,High,22,Main Road,Cloudy,No,Yellow
Sector 35,2025-01-18,02:00:00,514,Medium,12,Main Road,Sunny,No,Yellow
Sector 43,2025-01-18,03:00:00,1824,High,41,Street,Rainy,No,Red
Sector 22,2025-01-18,04:00:00,1296,Medium,44,Main Road,Foggy,No,Red
Sector 22,2025-01-18,05:00:00,680,Low,28,Main Road,Cloudy,No,Yellow
Industrial Area,2025-01-18,06:00:00,874,Medium,23,Highway,Cloudy,No,Green
Sector 35,2025-01-18,07:00:00,1337,Medium,57,Street,Rainy,No,Red
Sector 17,2025-01-18,08:00:00,1280,High,77,Street,Cloudy,Yes,Red
Sector 22,2025-01-18,09:00:00,656,High,54,Street,Sunny,No,Green
Industrial Area,2025-01-18,10:00:00,934,High,28,Main Road,Rainy,No,Yellow
IT Park,2025-01-18,11:00:00,1807,Medium,73,Main Road,Sunny,No,Red
Industrial Area,2025-01-18,12:00:00,415,Medium,75,Main Road,Cloudy,No,Green
Sector 22,2025-01-18,13:00:00,325,Low,75,Street,Cloudy,No,Red
Sector 22,2025-01-18,14:00:00,429,Medium,54,Main Road,Cloudy,No,Green
Industrial Area,2025-01-18,15:00:00,1816,Low,76,Street,Sunny,Yes,Red
Sector 17,2025-01-18,16:00:00,1382,High,78,Main Road,Cloudy,No,Yellow
Sector 43,2025-01-18,17:00:00,1704,High,12,Street,Rainy,No,Green
Sector 22,2025-01-18,18:00:00,1341,High,47,Highway,Foggy,No,Red
Industrial Area,2025-01-18,19:00:00,994,Low,51,Main Road,Rainy,No,Red
Industrial Area,2025-01-18,20:00:00,1858,Medium,49,Street,Foggy,Yes,Green
Sector 35,2025-01-18,21:00:00,1137,High,59,Highway,Cloudy,No,Green
Sector 43,2025-01-18,22:00:00,859,Medium,44,Highway,Rainy,No,Yellow
IT Park,2025-01-18,23:00:00,1423,Medium,33,Main Road,Sunny,No,Green
Sector 17,2025-01-19,00:00:00,974,High,26,Street,Foggy,No,Red
IT Park,2025-01-19,01:00:00,1988,Low,49,Main Road,Sunny,Yes,Yellow
Sector 43,2025-01-19,02:00:00,543,Medium,75,Highway,Foggy,No,Green
Sector 43,2025-01-19,03:00:00,1596,High,53,Main Road,Cloudy,No,Red
Sector 43,2025-01-19,04:00:00,1171,Medium,32,Street,Rainy,No,Green
IT Park,2025-01-19,05:00:00,1144,Medium,15,Highway,Foggy,No,Red
Sector 43,2025-01-19,06:00:00,413,Medium,75,Main Road,Rainy,No,Red
Industrial Area,2025-01-19,07:00:00,619,Medium,30,Main Road,Foggy,Yes,Yellow
IT Park,2025-01-19,08:00:00,1875,Medium,44,Main Road,Foggy,No,Yellow
Sector 43,2025-01-19,09:00:00,812,Low,38,Main Road,Cloudy,No,Green
Industrial Area,2025-01-19,10:00:00,325,Low,16,Main Road,Foggy,No,Yellow
Sector 35,2025-01-19,11:00:00,99,High,62,Highway,Sunny,No,Green
Sector 43,2025-01-19,12:00:00,1431,Low,46,Highway,Foggy,No,Yellow
IT Park,2025-01-19,13:00:00,777,Low,32,Street,Foggy,No,Yellow
Sector 22,2025-01-19,14:00:00,955,Low,17,Main Road,Foggy,No,Green
Sector 43,2025-01-19,15:00:00,977,Medium,57,Street,Cloudy,No,Yellow
Sector 22,2025-01-19,16:00:00,613,Medium,19,Highway,Rainy,No,Yellow
Industrial Area,2025-01-19,17:00:00,832,High,33,Main Road,Rainy,No,Yellow
Sector 35,2025-01-19,18:00:00,534,High,56,Street,Cloudy,No,Yellow
Sector 17,2025-01-19,19:00:00,1157,High,62,Main Road,Sunny,No,Green
Sector 35,2025-01-19,20:00:00,1972,Medium,48,Main Road,Sunny,No,Red
Sector 43,2025-01-19,21:00:00,1878,Low,76,Street,Cloudy,No,Green
Sector 22,2025-01-19,22:00:00,1711,Low,75,Highway,Rainy,No,Green
Sector 22,2025-01-19,23:00:00,1881,Medium,15,Street,Sunny,No,Green
IT Park,2025-01-20,00:00:00,633,High,30,Street,Cloudy,No,Yellow
Sector 22,2025-01-20,01:00:00,1369,High,45,Street,Rainy,No,Yellow
IT Park,2025-01-20,02:00:00,285,High,12,Main Road,Sunny,No,Red
Industrial Area,2025-01-20,03:00:00,105,Medium,51,Highway,Sunny,No,Yellow
Sector 17,2025-01-20,04:00:00,1992,High,54,Highway,Cloudy,No,Red
Sector 43,2025-01-20,05:00:00,409,High,53,Main Road,Rainy,No,Red
IT Park,2025-01-20,06:00:00,1980,Medium,42,Highway,Sunny,No,Yellow
Sector 17,2025-01-20,07:00:00,159,Low,69,Street,Cloudy,No,Red
Sector 22,2025-01-20,08:00:00,241,Medium,79,Highway,Sunny,No,Green
Sector 22,2025-01-20,09:00:00,953,Medium,35,Main Road,Rainy,No,Green
Sector 17,2025-01-20,10:00:00,1166,Medium,30,Highway,Foggy,No,Green
Sector 22,2025-01-20,11:00:00,911,Medium,11,Main Road,Sunny,No,Red
Industrial Area,2025-01-20,12:00:00,617,Low,56,Street,Rainy,No,Red
Industrial Area,2025-01-20,13:00:00,1133,High,39,Main Road,Sunny,No,Green
Sector 17,2025-01-20,14:00:00,699,Medium,36,Highway,Foggy,No,Yellow
IT Park,2025-01-20,15:00:00,88,Low,29,Street,Foggy,No,Green
IT Park,2025-01-20,16:00:00,1613,High,59,Highway,Sunny,No,Yellow
Sector 17,2025-01-20,17:00:00,1122,High,32,Main Road,Cloudy,Yes,Yellow
IT Park,2025-01-20,18:00:00,1493,High,22,Street,Sunny,No,Red
IT Park,2025-01-20,19:00:00,686,Medium,13,Main Road,Rainy,No,Red
Industrial Area,2025-01-20,20:00:00,1086,Medium,23,Highway,Cloudy,Yes,Yellow
IT Park,2025-01-20,21:00:00,85,High,29,Main Road,Rainy,No,Yellow
Sector 35,2025-01-20,22:00:00,150,High,22,Highway,Rainy,No,Yellow
Sector 43,2025-01-20,23:00:00,1867,High,12,Highway,Cloudy,No,Red
Sector 22,2025-01-21,00:00:00,1159,High,56,Street,Foggy,No,Green
Sector 35,2025-01-21,01:00:00,1589,High,12,Street,Rainy,No,Yellow
IT Park,2025-01-21,02:00:00,1296,High,10,Main Road,Sunny,No,Red
Industrial Area,2025-01-21,03:00:00,1411,Low,33,Highway,Foggy,No,Green
Sector 17,2025-01-21,04:00:00,215,High,44,Highway,Foggy,No,Red
IT Park,2025-01-21,05:00:00,432,Medium,23,Street,Cloudy,No,Green
Industrial Area,2025-01-21,06:00:00,1929,Medium,76,Street,Sunny,No,Red
Sector 43,2025-01-21,07:00:00,1968,Medium,22,Street,Sunny,No,Green
IT Park,2025-01-21,08:00:00,1449,High,56,Street,Foggy,No,Yellow
Sector 17,2025-01-21,09:00:00,1544,Medium,59,Main Road,Rainy,No,Red
Industrial Area,2025-01-21,10:00:00,839,Low,35,Main Road,Rainy,Yes,Green
Industrial Area,2025-01-21,11:00:00,1715,High,12,Main Road,Sunny,No,Green
Industrial Area,2025-01-21,12:00:00,80,Medium,60,Main Road,Foggy,No,Green
Sector 43,2025-01-21,13:00:00,1448,Low,49,Street,Foggy,No,Yellow
IT Park,2025-01-21,14:00:00,60,Low,77,Main Road,Foggy,No,Red
Sector 43,2025-01-21,15:00:00,1375,Medium,45,Main Road,Cloudy,No,Green
Sector 22,2025-01-21,16:00:00,145,Low,60,Main Road,Sunny,No,Yellow
Sector 22,2025-01-21,17:00:00,1263,Medium,10,Street,Sunny,No,Yellow
IT Park,2025-01-21,18:00:00,502,Low,42,Highway,Rainy,No,Yellow
Sector 43,2025-01-21,19:00:00,241,High,16,Street,Rainy,No,Yellow
Sector 17,2025-01-21,20:00:00,535,High,61,Highway,Sunny,No,Yellow
Industrial Area,2025-01-21,21:00:00,1339,High,20,Highway,Sunny,No,Yellow
Industrial Area,2025-01-21,22:00:00,1497,High,36,Main Road,Rainy,No,Yellow
IT Park,2025-01-21,23:00:00,1201,High,23,Main Road,Sunny,No,Red
Sector 22,2025-01-22,00:00:00,287,Medium,55,Main Road,Rainy,No,Red
Sector 22,2025-01-22,01:00:00,1993,High,19,Street,Sunny,No,Yellow
Industrial Area,2025-01-22,02:00:00,1428,High,33,Street,Cloudy,No,Green
IT Park,2025-01-22,03:00:00,1185,High,70,Main Road,Cloudy,Yes,Green
Sector 43,2025-01-22,04:00:00,1901,High,27,Street,Foggy,No,Green
Sector 22,2025-01-22,05:00:00,1519,Low,18,Street,Sunny,No,Yellow
Sector 43,2025-01-22,06:00:00,1416,High,26,Highway,Rainy,No,Green
Sector 22,2025-01-22,07:00:00,1218,High,67,Street,Sunny,No,Red
Sector 22,2025-01-22,08:00:00,1138,Medium,22,Highway,Sunny,No,Red
Sector 35,2025-01-22,09:00:00,1320,Low,59,Main Road,Foggy,No,Red
Sector 22,2025-01-22,10:00:00,784,Medium,15,Street,Rainy,No,Red
Sector 17,2025-01-22,11:00:00,1040,High,60,Highway,Sunny,No,Yellow
IT Park,2025-01-22,12:00:00,1563,Medium,45,Street,Rainy,Yes,Red
IT Park,2025-01-22,13:00:00,874,Medium,34,Highway,Sunny,No,Green
Sector 43,2025-01-22,14:00:00,1512,High,20,Highway,Foggy,No,Green
Sector 22,2025-01-22,15:00:00,155,Low,53,Street,Rainy,No,Red
Sector 17,2025-01-22,16:00:00,230,Low,23,Main Road,Sunny,Yes,Red
Sector 43,2025-01-22,17:00:00,233,Medium,38,Highway,Cloudy,No,Red
Sector 35,2025-01-22,18:00:00,275,High,59,Main Road,Rainy,No,Green
Sector 43,2025-01-22,19:00:00,826,Medium,14,Street,Foggy,Yes,Green
Sector 43,2025-01-22,20:00:00,839,Medium,78,Street,Cloudy,Yes,Red
Sector 22,2025-01-22,21:00:00,1982,Medium,66,Main Road,Rainy,No,Green
Sector 35,2025-01-22,22:00:00,1162,High,35,Street,Rainy,No,Green
Sector 43,2025-01-22,23:00:00,737,High,15,Highway,Rainy,No,Yellow
Sector 17,2025-01-23,00:00:00,579,Low,25,Main Road,Rainy,No,Red
Sector 17,2025-01-23,01:00:00,1444,High,69,Street,Sunny,No,Red
IT Park,2025-01-23,02:00:00,1021,Medium,21,Street,Sunny,No,Yellow
Sector 35,2025-01-23,03:00:00,985,Medium,12,Main Road,Rainy,No,Yellow
Sector 35,2025-01-23,04:00:00,1986,Low,72,Highway,Foggy,No,Green
IT Park,2025-01-23,05:00:00,1472,High,73,Main Road,Sunny,No,Yellow
Sector 43,2025-01-23,06:00:00,155,Medium,71,Street,Rainy,No,Red
Sector 35,2025-01-23,07:00:00,1344,Low,15,Street,Rainy,No,Red
Sector 17,2025-01-23,08:00:00,880,Low,28,Main Road,Foggy,No,Red
Sector 17,2025-01-23,09:00:00,1576,Medium,27,Highway,Foggy,No,Green
Sector 22,2025-01-23,10:00:00,728,Medium,52,Highway,Foggy,No,Green
Sector 35,2025-01-23,11:00:00,1598,High,12,Highway,Cloudy,Yes,Red
Sector 43,2025-01-23,12:00:00,898,Low,47,Main Road,Rainy,Yes,Red
IT Park,2025-01-23,13:00:00,1105,Medium,77,Highway,Foggy,No,Green
IT Park,2025-01-23,14:00:00,442,Low,53,Highway,Rainy,No,Green
Sector 43,2025-01-23,15:00:00,89,High,72,Highway,Sunny,No,Yellow
Industrial Area,2025-01-23,16:00:00,709,Medium,51,Highway,Rainy,No,Green
Sector 22,2025-01-23,17:00:00,1291,High,73,Street,Rainy,No,Green
IT Park,2025-01-23,18:00:00,1804,Low,63,Main Road,Cloudy,No,Red
Sector 35,2025-01-23,19:00:00,1030,High,46,Main Road,Sunny,No,Red
Sector 22,2025-01-23,20:00:00,1155,High,13,Highway,Sunny,No,Red
Sector 35,2025-01-23,21:00:00,894,Low,11,Main Road,Cloudy,No,Yellow
Sector 17,2025-01-23,22:00:00,1793,High,53,Main Road,Foggy,No,Green
Sector 22,2025-01-23,23:00:00,250,Low,76,Street,Foggy,No,Yellow
IT Park,2025-01-24,00:00:00,496,Medium,77,Main Road,Rainy,No,Green
Sector 22,2025-01-24,01:00:00,1917,Low,71,Street,Cloudy,No,Green
Sector 22,2025-01-24,02:00:00,1501,Low,10,Main Road,Foggy,No,Red
Sector 22,2025-01-24,03:00:00,1111,Medium,26,Street,Sunny,No,Green
Industrial Area,2025-01-24,04:00:00,1284,Low,25,Street,Cloudy,No,Yellow
Sector 22,2025-01-24,05:00:00,493,Medium,18,Main Road,Foggy,No,Red
Sector 35,2025-01-24,06:00:00,1400,Medium,62,Street,Sunny,No,Yellow
Sector 17,2025-01-24,07:00:00,810,Low,68,Street,Cloudy,No,Yellow
Sector 43,2025-01-24,08:00:00,276,High,18,Main Road,Rainy,Yes,Red
Sector 22,2025-01-24,09:00:00,97,High,21,Street,Rainy,Yes,Green
IT Park,2025-01-24,10:00:00,1091,Medium,50,Street,Sunny,No,Yellow
Sector 22,2025-01-24,11:00:00,961,High,24,Street,Foggy,No,Green
IT Park,2025-01-24,12:00:00,1512,High,75,Street,Foggy,No,Red
Sector 35,2025-01-24,13:00:00,1880,Low,20,Street,Cloudy,No,Green
IT Park,2025-01-24,14:00:00,1781,Medium,17,Highway,Sunny,Yes,Green
Sector 43,2025-01-24,15:00:00,236,Medium,64,Street,Foggy,No,Red
Sector 17,2025-01-24,16:00:00,394,Low,15,Street,Rainy,No,Green
IT Park,2025-01-24,17:00:00,273,High,62,Street,Sunny,No,Yellow
IT Park,2025-01-24,18:00:00,879,Medium,29,Street,Rainy,No,Yellow
Sector 17,2025-01-24,19:00:00,537,High,48,Main Road,Sunny,No,Yellow
Sector 43,2025-01-24,20:00:00,1982,Medium,43,Highway,Cloudy,No,Green
Sector 22,2025-01-24,21:00:00,926,Medium,66,Main Road,Foggy,No,Yellow
IT Park,2025-01-24,22:00:00,898,Medium,28,Highway,Foggy,No,Green
Sector 17,2025-01-24,23:00:00,1302,Medium,40,Street,Foggy,No,Green
Sector 35,2025-01-25,00:00:00,1463,High,49,Street,Rainy,No,Green
Sector 17,2025-01-25,01:00:00,1028,High,23,Highway,Foggy,No,Green
Sector 35,2025-01-25,02:00:00,1662,High,46,Highway,Sunny,Yes,Red
Sector 43,2025-01-25,03:00:00,1066,High,53,Main Road,Rainy,Yes,Yellow
Sector 22,2025-01-25,04:00:00,237,Low,18,Highway,Cloudy,No,Yellow
Sector 17,2025-01-25,05:00:00,1931,Medium,67,Street,Rainy,No,Green
Industrial Area,2025-01-25,06:00:00,319,Medium,29,Main Road,Cloudy,No,Red
IT Park,2025-01-25,07:00:00,1680,Medium,59,Highway,Rainy,No,Green
Sector 43,2025-01-25,08:00:00,359,Low,29,Highway,Foggy,No,Yellow
Sector 17,2025-01-25,09:00:00,1205,High,45,Main Road,Cloudy,No,Yellow
IT Park,2025-01-25,10:00:00,1624,Medium,36,Highway,Foggy,No,Red
Sector 17,2025-01-25,11:00:00,1145,High,41,Street,Rainy,No,Green
Sector 35,2025-01-25,12:00:00,1866,High,10,Main Road,Cloudy,No,Red
Sector 17,2025-01-25,13:00:00,894,Low,26,Highway,Sunny,Yes,Green
Industrial Area,2025-01-25,14:00:00,1745,Low,18,Street,Sunny,No,Red
Sector 17,2025-01-25,15:00:00,1260,High,54,Highway,Rainy,No,Yellow
Sector 17,2025-01-25,16:00:00,535,Medium,75,Main Road,Cloudy,No,Red
Industrial Area,2025-01-25,17:00:00,1264,Medium,41,Highway,Sunny,No,Yellow
Sector 43,2025-01-25,18:00:00,1495,Low,54,Highway,Foggy,No,Yellow
Sector 17,2025-01-25,19:00:00,169,Low,18,Highway,Foggy,No,Green
Industrial Area,2025-01-25,20:00:00,269,Low,39,Street,Rainy,No,Red
IT Park,2025-01-25,21:00:00,102,Low,47,Street,Foggy,No,Red
Sector 35,2025-01-25,22:00:00,1807,Low,69,Highway,Foggy,No,Red
Sector 35,2025-01-25,23:00:00,1524,Low,10,Highway,Foggy,No,Red
Sector 17,2025-01-26,00:00:00,1485,Low,14,Main Road,Sunny,Yes,Green
Sector 43,2025-01-26,01:00:00,1716,Medium,72,Highway,Cloudy,No,Green
Sector 43,2025-01-26,02:00:00,1310,Low,45,Main Road,Rainy,No,Green
IT Park,2025-01-26,03:00:00,807,Low,74,Street,Cloudy,No,Yellow
Sector 17,2025-01-26,04:00:00,787,Medium,33,Highway,Cloudy,No,Yellow
Sector 35,2025-01-26,05:00:00,769,Medium,13,Main Road,Cloudy,No,Yellow
Sector 43,2025-01-26,06:00:00,455,High,77,Street,Sunny,No,Green
Sector 17,2025-01-26,07:00:00,657,Low,34,Main Road,Foggy,No,Yellow
Sector 43,2025-01-26,08:00:00,1070,Low,16,Street,Rainy,No,Red
Industrial Area,2025-01-26,09:00:00,471,Low,22,Highway,Cloudy,No,Yellow
Sector 43,2025-01-26,10:00:00,761,Low,77,Main Road,Foggy,No,Green
Sector 35,2025-01-26,11:00:00,296,High,52,Highway,Sunny,No,Green
Sector 22,2025-01-26,12:00:00,121,Medium,66,Main Road,Cloudy,No,Green
IT Park,2025-01-26,13:00:00,1903,Medium,45,Street,Foggy,No,Green
IT Park,2025-01-26,14:00:00,234,Low,23,Main Road,Sunny,No,Red
Sector 35,2025-01-26,15:00:00,55,Low,36,Main Road,Foggy,No,Yellow
Sector 43,2025-01-26,16:00:00,1279,Low,46,Highway,Rainy,Yes,Yellow
Sector 17,2025-01-26,17:00:00,1617,High,34,Highway,Foggy,No,Green
Sector 43,2025-01-26,18:00:00,1684,High,76,Highway,Foggy,No,Yellow
Sector 35,2025-01-26,19:00:00,955,Medium,13,Street,Rainy,No,Red
IT Park,2025-01-26,20:00:00,436,Low,25,Highway,Rainy,No,Green
Sector 43,2025-01-26,21:00:00,1841,Low,28,Main Road,Foggy,No,Yellow
IT Park,2025-01-26,22:00:00,748,Low,38,Street,Rainy,No,Yellow
Sector 17,2025-01-26,23:00:00,1149,Low,60,Highway,Foggy,No,Yellow
IT Park,2025-01-27,00:00:00,1250,High,27,Main Road,Cloudy,Yes,Yellow
IT Park,2025-01-27,01:00:00,876,Medium,67,Main Road,Foggy,No,Green
Sector 22,2025-01-27,02:00:00,1872,Medium,53,Street,Sunny,No,Green
Sector 22,2025-01-27,03:00:00,398,High,25,Main Road,Rainy,No,Red
Industrial Area,2025-01-27,04:00:00,1328,Low,74,Highway,Cloudy,No,Green
Sector 22,2025-01-27,05:00:00,1910,Medium,11,Main Road,Rainy,No,Yellow
IT Park,2025-01-27,06:00:00,1775,Medium,65,Highway,Rainy,No,Yellow
Sector 35,2025-01-27,07:00:00,357,High,37,Highway,Rainy,No,Yellow
IT Park,2025-01-27,08:00:00,1418,Low,74,Street,Sunny,No,Red
Sector 35,2025-01-27,09:00:00,1200,Medium,14,Main Road,Sunny,No,Green
Sector 35,2025-01-27,10:00:00,336,Low,31,Street,Foggy,No,Green
Sector 22,2025-01-27,11:00:00,815,Medium,22,Street,Sunny,No,Green
Sector 43,2025-01-27,12:00:00,774,High,74,Street,Rainy,No,Yellow
Sector 17,2025-01-27,13:00:00,811,Low,25,Highway,Cloudy,No,Yellow
Sector 22,2025-01-27,14:00:00,1669,High,73,Highway,Cloudy,No,Yellow
Sector 22,2025-01-27,15:00:00,1560,Medium,41,Highway,Cloudy,No,Red
Sector 43,2025-01-27,16:00:00,432,High,60,Highway,Rainy,No,Red
Sector 17,2025-01-27,17:00:00,1479,High,67,Main Road,Sunny,No,Yellow
IT Park,2025-01-27,18:00:00,437,High,55,Main Road,Cloudy,No,Red
Industrial Area,2025-01-27,19:00:00,574,Medium,61,Highway,Rainy,No,Red
Industrial Area,2025-01-27,20:00:00,1630,Low,72,Highway,Rainy,No,Red
IT Park,2025-01-27,21:00:00,688,High,69,Main Road,Cloudy,Yes,Green
Sector 22,2025-01-27,22:00:00,987,Low,74,Street,Cloudy,No,Red
Sector 17,2025-01-27,23:00:00,1699,Medium,64,Street,Foggy,No,Yellow
Sector 22,2025-01-28,00:00:00,325,Low,66,Highway,Foggy,No,Green
Sector 35,2025-01-28,01:00:00,549,High,35,Street,Rainy,No,Red
Sector 22,2025-01-28,02:00:00,766,High,21,Highway,Foggy,No,Yellow
Sector 22,2025-01-28,03:00:00,386,High,55,Highway,Foggy,No,Red
IT Park,2025-01-28,04:00:00,981,High,56,Highway,Cloudy,No,Yellow
IT Park,2025-01-28,05:00:00,530,High,47,Main Road,Foggy,Yes,Yellow
IT Park,2025-01-28,06:00:00,1970,High,30,Street,Rainy,No,Red
Industrial Area,2025-01-28,07:00:00,960,Medium,23,Main Road,Cloudy,No,Red
Sector 35,2025-01-28,08:00:00,1346,Medium,11,Street,Foggy,No,Green
IT Park,2025-01-28,09:00:00,1993,Medium,79,Main Road,Foggy,No,Red
Sector 17,2025-01-28,10:00:00,1131,Low,42,Main Road,Foggy,No,Yellow
Industrial Area,2025-01-28,11:00:00,1401,Low,15,Highway,Sunny,No,Green
Sector 43,2025-01-28,12:00:00,1804,Medium,46,Highway,Foggy,No,Yellow
Sector 17,2025-01-28,13:00:00,158,Low,23,Main Road,Foggy,No,Yellow
Sector 17,2025-01-28,14:00:00,1352,Low,46,Street,Rainy,No,Red
IT Park,2025-01-28,15:00:00,1759,High,17,Street,Foggy,No,Yellow
Sector 43,2025-01-28,16:00:00,377,High,22,Highway,Sunny,No,Red
Sector 43,2025-01-28,17:00:00,1849,Low,49,Highway,Cloudy,No,Yellow
Industrial Area,2025-01-28,18:00:00,364,Low,67,Street,Foggy,No,Green
